#       J_pk              E_pk               b_pk              A22_pk            omg22_pk
 3.457667450492188  0.942277292039354  3.669479758987740  1.443664894030493  0.272188940568239
 3.460157823087651  0.942461757131564  3.671403955550239  1.445633971669587  0.272206486210715
 3.467105045984848  0.942968359623396  3.676798919710887  1.451134732432305  0.272268717932088
 3.472017232402772  0.943345485776306  3.680536224271587  1.455044782028130  0.272292444872879
 3.485872928434990  0.944394000794006  3.691121423372254  1.466011726698848  0.272404573952081
 3.493561131420667  0.945053775770688  3.696679724465077  1.471824038390933  0.272471085149611
 3.508523627301477  0.946284219475533  3.707684810855278  1.483512840556009  0.272580169436310
 3.524714395536942  0.947688849664037  3.719273891200136  1.495944068095105  0.272708919166951
 3.554809135557108  0.950406838011879  3.740302566628501  1.518937032572556  0.272949474656619
 3.564888454909592  0.951327374400143  3.747278330088445  1.526896698507702  0.272987066290399
 3.598925824247793  0.954581765669629  3.770159826720745  1.553025057880256  0.273222138396775
 3.616514544345865  0.956327103736905  3.781671072809837  1.566573206186948  0.273330780133480
 3.645290193278142  0.959263770397045  3.800091597089437  1.588475182486578  0.273569239612754
 3.677438161498803  0.962614188845345  3.820261745684308  1.613285700718784  0.273761648020159
 3.714930681841959  0.966602283220689  3.843287716498996  1.642633770174587  0.273935501400514
 3.756243015082384  0.971085750116052  3.868085814907164  1.675974944588394  0.274009809917077
 3.792111844123824  0.975200920813782  3.888544158632864  1.703784760142060  0.274236004826256
 3.821231750739863  0.978538901849761  3.905038157927574  1.727362161145041  0.274584405985742
 3.869585810977067  0.984101972144032  3.932098421209870  1.767547803136218  0.274679388540316
 3.901699737044943  0.987979893265161  3.949169172006397  1.793871323880375  0.274185479652353
