q,nu,chi1z,chi2z,chieff,ecc,ecc_gi,m_ano_gi,E0,J0,Emrg_til,Jmrg_til,Heff_til,b_massless,b_massless_Heff,b_massless_EOB,a_f,A_220,A_320,A_440,v_kick,A_peak22,omega_peak22,Mf,af,v_kick_qc,A_peak22_qc,omega_peak22_qc,Mf_qc,af_qc,ID,catalog
0.9000000000000008,0.24930747922437674,0.0,0.0,0.0,0.6636,,,0.991841252314016,0.778274848611832,0.9858447140692475,2.9278016423639603,0.9436234327402098,2.969840585013581,3.1027224852416495,3.0588025612992786,0.7041680948,0.0,0.0,0.0,36.03,0.3842422502669716,0.3609286243048775,0.9701708309,0.7041680948,1.0,0.3935482092334095,0.35949478713273836,0.9518434592263939,0.6848348051898036,1339,RIT
0.9999999415780159,0.24999999999999978,-1.91310409172e-05,-1.91459174249e-05,-1.913847917083272e-05,0.2211163,0.07783939840320175,3.790289531884916,0.9924272356373417,1.082315375017643,0.9700737997112442,2.8048615490708553,0.8820863537724221,2.891389861169079,3.1798038106760105,3.0846443649587716,0.686469814726,0.0,0.0,0.0,,0.3927353877239301,0.360280013138663,0.951943772847,0.686469814726,1.0,0.39483119600352257,0.3598129996606911,0.9515844622397504,0.6863640265555292,1357,SXS
0.3333333333333333,0.1875,0.0,0.0,0.0,0.36,0.21389156108426788,0.18948085968575867,0.995052136917686,0.806709412589651,0.9807788214301925,2.976296335434116,0.8984722575093264,3.0346254123779075,3.3126190714945047,3.2489466287875586,0.5437466734,0.0,0.0,0.0,165.6,0.2911263725917414,0.33951134459141485,0.9712171735,0.5437466734,1.0,0.2849550865647949,0.33276172592,0.971248210181883,0.5405636817226854,1469,RIT
0.6,0.23437499999999994,0.0,0.0,0.0,0.64,,,0.992445097529565,0.75687897346719,0.9868273581238951,3.0303765845118185,0.9441669007824776,3.0708274953716455,3.209577228348501,3.167298616945765,0.6789260174,0.0,0.0,0.0,147.54,0.3745413540129618,0.3491093239189613,0.9707417986,0.6789260174,1.0,0.36626671098524083,0.35271135357968747,0.9571899292820022,0.6513011211070794,1407,RIT
0.7500000000000013,0.24489795918367355,0.0,0.0,0.0,0.08,0.08844593341465878,5.031958954296677,0.990007583687503,0.942314835957165,0.9710558219784127,2.8296101122972996,0.8835217108545984,2.9139520594524626,3.2026492134079203,3.109951164434345,0.6763264443,0.0,0.0,0.0,72.51,0.3854005782589252,0.3629035810009924,0.953661945,0.6763264443,1.0,0.38541656682543507,0.3574701254265389,0.9534713184168965,0.6750187370840793,1254,RIT
1.0,0.25,0.0,0.0,0.0,0.12,,,0.989327032645627,0.940712705751782,0.970330893185421,2.8347846218227986,0.8830840845400338,2.921461783533154,3.21009592568904,3.1148552467847272,0.6882956503,0.990349029108132,0.01093410983021227,0.03266412045698832,0.0,0.3975630235676286,0.3626454989439907,0.9511419287,0.6882956503,1.0,0.39483117025625,0.35981440246,0.9515839428556587,0.686369879389307,1106,RIT
1.0,0.25,0.0,0.0,0.0,0.157,,,0.988891921934176,0.920723994267227,0.9691342745176567,2.792801564946779,0.8784424840897294,2.8817488333458967,3.1792651374788305,3.0811348125098244,0.6832662972,0.9251414693637471,0.01110621063845406,0.03192654752937102,0.0,0.38919567856693255,0.3601454129075705,0.9514192921,0.6832662972,1.0,0.39483117025625,0.35981440246,0.9515839428556587,0.686369879389307,1110,RIT
0.6,0.23437499999999994,0.0,0.0,0.0,0.7975,,,0.991671109524989,0.567659230100399,0.9904167634052039,2.3660845297942608,0.9593074458326178,2.3889786776824145,2.4664507088659673,2.4428141281735023,0.5464603303,0.0,0.0,0.0,92.16,0.25059209202759153,0.2917364657967223,0.9856451022,0.5464603303,1.0,0.36626671098524083,0.35271135357968747,0.9571899292820022,0.6513011211070794,1411,RIT
0.7500000000000013,0.24489795918367355,0.0,0.0,0.0,0.002,,,0.990905356253029,0.981448206547702,0.9708477875735605,2.822415938398533,0.882696912716141,2.9071662669722884,3.1974915712729697,3.10427761775547,0.6750214533,0.0,0.0,0.0,72.42,0.38414766806068146,0.3593060998571218,0.9535166382,0.6750214533,1.0,0.38541656682543507,0.3574701254265389,0.9534713184168965,0.6750187370840793,1242,RIT
0.9000000000000008,0.24930747922437674,0.0,0.0,0.0,0.75,,,0.991389957451351,0.670926593630886,0.9888783371574243,2.5976841730150264,0.9556378445412388,2.6268996654150474,2.718272604892562,2.688040893466737,0.6341114843,0.0,0.0,0.0,29.31,0.3075413564949972,0.3298712653420335,0.9807522098,0.6341114843,1.0,0.3935482092334095,0.35949478713273836,0.9518434592263939,0.6848348051898036,1341,RIT
