q,nu,ecc,E0,J0,Emrg_til,Jmrg_til,Heff_til,b_massless,b_massless_Heff,b_massless_EOB,a_f,A_220,A_320,A_440,A_peak22,omega_peak22,Mf,af,A_peak22_qc,omega_peak22_qc,Mf_qc,af_qc,ID,catalog
1.0,0.25,0.12,0.989327032645627,0.940712705751782,0.970330893185421,2.8347846218227986,0.8830840845400338,2.921461783533154,3.21009592568904,3.1148552467847272,0.6882956503,0.990349029108132,0.01093410983021227,0.03266412045698832,0.3975630235676286,0.3626454989439907,0.9511419287,0.6882956503,0.39483207803663306,0.35981440246,0.9515839428556587,0.686369879389307,1106,RIT
1.0,0.25,0.157,0.988891921934176,0.920723994267227,0.9691342745176567,2.792801564946779,0.8784424840897294,2.8817488333458967,3.1792651374788305,3.0811348125098244,0.6832662972,0.9251414693637471,0.01110621063845406,0.03192654752937102,0.38919567856693255,0.3601454129075705,0.9514192921,0.6832662972,0.39483207803663306,0.35981440246,0.9515839428556587,0.686369879389307,1110,RIT
1.0,0.25,0.51,0.992617986707402,0.941037860523075,0.9695413040016612,2.8455443988337543,0.8800206803304831,2.9349388077528245,3.233497192094552,3.1350090841090617,0.6879906801,1.1334504253761788,0.011981284741185922,0.03715603648209839,0.40596100734205876,0.3570712402556637,0.9484456114,0.6879906801,0.39483207803663306,0.35981440246,0.9515839428556587,0.686369879389307,1303,RIT
1.0,0.25,0.64,0.99193873251433,0.806603880448357,0.984489489380525,2.9914939974255166,0.9384391094014539,3.0386246168131956,3.1877337244965442,3.138290346710682,0.7166207057,0.843377141252101,0.015169021769983044,0.030688628808553428,0.4095980495061917,0.3662207973171441,0.9655945151,0.7166207057,0.39483207803663306,0.35981440246,0.9515839428556587,0.686369879389307,1315,RIT
1.0,0.25,0.235,0.987973994315934,0.877094507446426,0.9682896093908478,2.7837281357019066,0.8751695353085613,2.8748920867313172,3.180787291367996,3.07992328391409,0.6808873569,0.9415546856060936,0.011680842027494786,0.03273766232961309,0.39016605452512765,0.35515344526109516,0.9505235866,0.6808873569,0.39483207803663306,0.35981440246,0.9515839428556587,0.686369879389307,1118,RIT
1.0,0.25,0.444975,0.992957639069585,1.0015331515567,0.9687462116750958,2.760562449557896,0.8769384452696989,2.8496239946936184,3.1479546420260958,3.049569133987813,0.6812185864,0.8908153002392443,0.011092898361428937,0.02990402863409174,0.3848219573934657,0.35821661409431726,0.9519339606,0.6812185864,0.39483207803663306,0.35981440246,0.9515839428556587,0.686369879389307,1292,RIT
1.0,0.25,0.3276,0.993570386164343,1.10235863661276,0.9694580612278108,2.807591659275066,0.8796978649591713,2.896042409219099,3.1915408359043504,3.0940649911052183,0.6855195723,0.9862629368850372,0.011827671622399172,0.03732424684815785,0.39562116573971623,0.3551607824477401,0.9508768245,0.6855195723,0.39483207803663306,0.35981440246,0.9515839428556587,0.686369879389307,1284,RIT
1.0,0.25,0.02,0.990502046289445,0.992724434704118,0.9697165745815778,2.809497525593506,0.8807004700364574,2.8972357482966338,3.1900715636920283,3.0934652694135316,0.686542189,0.9312347679428383,0.0109810495844675,0.031118881469529153,0.3937320339979368,0.36759065796502455,0.9515316745,0.686542189,0.39483207803663306,0.35981440246,0.9515839428556587,0.686369879389307,1097,RIT
1.0,0.25,0.275,0.987502914576513,0.853856083654836,0.9713001244677735,2.905232690538713,0.8868478635822246,2.991076205339357,3.275908766136812,3.1818905922937555,0.697838049,1.037004788936304,0.013196100972687003,0.04207595368278122,0.41816563261918904,0.368310236379493,0.9494543385,0.697838049,0.39483207803663306,0.35981440246,0.9515839428556587,0.686369879389307,1122,RIT
1.0,0.25,0.4959,0.992691668479867,0.954481258530544,0.9719200632092445,2.8177914182741346,0.8892572185373238,2.899200793293525,3.168702327667264,3.079725366597647,0.6876940974,0.9549202311841997,0.00886678981371335,0.030878783637722406,0.390419136041389,0.3556664438581265,0.9538955577,0.6876940974,0.39483207803663306,0.35981440246,0.9515839428556587,0.686369879389307,1301,RIT
